,season,Team,win_match,total_pick
0,2014,Atlanta Hawks,60.0,48.0
33,2015,Atlanta Hawks,48.0,23.0
66,2016,Atlanta Hawks,43.0,17.0
98,2017,Atlanta Hawks,24.0,61.0
128,2018,Atlanta Hawks,29.0,15.0
158,2019,Atlanta Hawks,20.0,21.0
188,2020,Atlanta Hawks,41.0,19.0
218,2021,Atlanta Hawks,43.0,3.0
248,2022,Atlanta Hawks,41.0,8.0
278,2023,Atlanta Hawks,,6.0
306,2024,Atlanta Hawks,,20.0
330,2025,Atlanta Hawks,,16.0
