index;team_name_home;season_id;wl_home;total_home;total_away;total_victoire
276;Dallas Mavericks;2021;W;29;23;52
278;Dallas Mavericks;2022;W;23;15;38
280;Denver Nuggets;2000;W;29;11;40
283;Denver Nuggets;2001;W;20;7;27
285;Denver Nuggets;2002;W;13;4;17
286;Denver Nuggets;2003;W;29;14;43
288;Denver Nuggets;2004;W;31;18;49
290;Denver Nuggets;2005;W;26;18;44
292;Denver Nuggets;2006;W;23;22;45
294;Denver Nuggets;2007;W;33;17;50
296;Denver Nuggets;2008;W;33;21;54
298;Denver Nuggets;2009;W;34;19;53
300;Denver Nuggets;2010;W;33;17;50
302;Denver Nuggets;2011;W;20;18;38
304;Denver Nuggets;2013;W;22;14;36
307;Denver Nuggets;2014;W;19;11;30
309;Denver Nuggets;2015;W;18;15;33
310;Denver Nuggets;2016;W;22;18;40
312;Denver Nuggets;2017;W;31;15;46
314;Denver Nuggets;2018;W;34;20;54
316;Denver Nuggets;2019;W;26;20;46
318;Denver Nuggets;2020;W;25;22;47
320;Denver Nuggets;2021;W;23;25;48
322;Denver Nuggets;2022;W;34;19;53
325;Detroit Pistons;2000;W;18;14;32
326;Detroit Pistons;2001;W;26;24;50
328;Detroit Pistons;2002;W;30;20;50
330;Detroit Pistons;2003;W;31;23;54
332;Detroit Pistons;2004;W;32;22;54
334;Detroit Pistons;2005;W;37;27;64
336;Detroit Pistons;2006;W;26;27;53
338;Detroit Pistons;2007;W;34;25;59
340;Detroit Pistons;2008;W;21;18;39
343;Detroit Pistons;2009;W;17;10;27
344;Detroit Pistons;2010;W;21;9;30
346;Detroit Pistons;2011;W;18;7;25
349;Detroit Pistons;2013;W;17;12;29
351;Detroit Pistons;2014;W;18;14;32
352;Detroit Pistons;2015;W;26;18;44
354;Detroit Pistons;2016;W;24;13;37
356;Detroit Pistons;2017;W;25;14;39
358;Detroit Pistons;2018;W;26;15;41
361;Detroit Pistons;2019;W;11;9;20
363;Detroit Pistons;2020;W;13;7;20
365;Detroit Pistons;2021;W;13;10;23
367;Detroit Pistons;2022;W;9;8;17
369;Golden State Warriors;2000;W;11;6;17
371;Golden State Warriors;2001;W;14;7;21
372;Golden State Warriors;2002;W;24;14;38
374;Golden State Warriors;2003;W;27;10;37
377;Golden State Warriors;2004;W;20;14;34
378;Golden State Warriors;2005;W;21;13;34
380;Golden State Warriors;2006;W;30;12;42
382;Golden State Warriors;2007;W;27;21;48
384;Golden State Warriors;2008;W;21;8;29
387;Golden State Warriors;2009;W;18;8;26
388;Golden State Warriors;2010;W;26;10;36
391;Golden State Warriors;2011;W;12;11;23
392;Golden State Warriors;2013;W;27;24;51
394;Golden State Warriors;2014;W;39;28;67
396;Golden State Warriors;2015;W;39;34;73
398;Golden State Warriors;2016;W;36;31;67
400;Golden State Warriors;2017;W;29;29;58
402;Golden State Warriors;2018;W;30;27;57
405;Golden State Warriors;2019;W;8;7;15
406;Golden State Warriors;2020;W;25;14;39
408;Golden State Warriors;2021;W;31;22;53
410;Golden State Warriors;2022;W;33;11;44
412;Houston Rockets;2000;W;24;21;45
415;Houston Rockets;2001;W;18;10;28
416;Houston Rockets;2002;W;28;15;43
418;Houston Rockets;2003;W;27;18;45
420;Houston Rockets;2004;W;26;25;51
423;Houston Rockets;2005;W;15;19;34
424;Houston Rockets;2006;W;28;24;52
426;Houston Rockets;2007;W;31;24;55
428;Houston Rockets;2008;W;33;20;53
430;Houston Rockets;2009;W;23;19;42
432;Houston Rockets;2010;W;25;18;43
434;Houston Rockets;2011;W;22;12;34
436;Houston Rockets;2013;W;33;21;54
438;Houston Rockets;2014;W;30;26;56
440;Houston Rockets;2015;W;23;18;41
442;Houston Rockets;2016;W;30;25;55
444;Houston Rockets;2017;W;34;31;65
446;Houston Rockets;2018;W;31;22;53
448;Houston Rockets;2019;W;24;20;44
451;Houston Rockets;2020;W;9;8;17
453;Houston Rockets;2021;W;11;9;20
455;Houston Rockets;2022;W;14;8;22
456;Indiana Pacers;2000;W;26;15;41
458;Indiana Pacers;2001;W;25;17;42
460;Indiana Pacers;2002;W;32;16;48
462;Indiana Pacers;2003;W;34;27;61
464;Indiana Pacers;2004;W;25;19;44
466;Indiana Pacers;2005;W;27;14;41
468;Indiana Pacers;2006;W;22;13;35
470;Indiana Pacers;2007;W;21;15;36
472;Indiana Pacers;2008;W;25;11;36
474;Indiana Pacers;2009;W;23;9;32
476;Indiana Pacers;2010;W;24;13;37
478;Indiana Pacers;2011;W;23;19;42
480;Indiana Pacers;2013;W;35;21;56
482;Indiana Pacers;2014;W;23;15;38
484;Indiana Pacers;2015;W;26;19;45
486;Indiana Pacers;2016;W;29;13;42
488;Indiana Pacers;2017;W;27;21;48
490;Indiana Pacers;2018;W;29;19;48
492;Indiana Pacers;2019;W;25;20;45
495;Indiana Pacers;2020;W;13;21;34
497;Indiana Pacers;2021;W;16;9;25
499;Indiana Pacers;2022;W;20;15;35
500;LA Clippers;2015;W;29;24;53
502;LA Clippers;2016;W;29;22;51
504;LA Clippers;2017;W;22;20;42
506;LA Clippers;2018;W;26;22;48
508;LA Clippers;2019;W;27;22;49
510;LA Clippers;2020;W;26;21;47
512;LA Clippers;2021;W;25;17;42
514;LA Clippers;2022;W;23;21;44
516;Los Angeles Clippers;2000;W;22;9;31
518;Los Angeles Clippers;2001;W;25;14;39
521;Los Angeles Clippers;2002;W;16;11;27
523;Los Angeles Clippers;2003;W;18;10;28
524;Los Angeles Clippers;2004;W;27;10;37
526;Los Angeles Clippers;2005;W;27;20;47
528;Los Angeles Clippers;2006;W;25;15;40
