index;team_name_home;season_id;wl_home;total_home;total_away;total_victoire
1210;Toronto Raptors;2017;W;34;25;59
1212;Toronto Raptors;2018;W;32;26;58
1214;Toronto Raptors;2019;W;26;27;53
1217;Toronto Raptors;2020;W;16;11;27
1218;Toronto Raptors;2021;W;24;24;48
1220;Toronto Raptors;2022;W;27;14;41
1222;Utah Jazz;2000;W;28;25;53
1224;Utah Jazz;2001;W;25;19;44
1226;Utah Jazz;2002;W;29;18;47
1228;Utah Jazz;2003;W;28;14;42
1231;Utah Jazz;2004;W;18;8;26
1232;Utah Jazz;2005;W;22;19;41
1234;Utah Jazz;2006;W;31;20;51
1236;Utah Jazz;2007;W;37;17;54
1238;Utah Jazz;2008;W;33;15;48
1240;Utah Jazz;2009;W;32;21;53
1242;Utah Jazz;2010;W;21;18;39
1244;Utah Jazz;2011;W;25;11;36
1247;Utah Jazz;2013;W;16;9;25
1248;Utah Jazz;2014;W;21;17;38
1250;Utah Jazz;2015;W;24;16;40
1252;Utah Jazz;2016;W;29;22;51
1254;Utah Jazz;2017;W;28;20;48
1256;Utah Jazz;2018;W;29;21;50
1258;Utah Jazz;2019;W;23;21;44
1260;Utah Jazz;2020;W;31;21;52
1262;Utah Jazz;2021;W;29;20;49
1264;Utah Jazz;2022;W;23;14;37
1267;Vancouver Grizzlies;2000;W;15;8;23
1269;Washington Wizards;2000;W;12;7;19
1270;Washington Wizards;2001;W;22;15;37
1272;Washington Wizards;2002;W;23;14;37
1275;Washington Wizards;2003;W;17;8;25
1276;Washington Wizards;2004;W;29;16;45
1278;Washington Wizards;2005;W;27;15;42
1280;Washington Wizards;2006;W;26;15;41
1282;Washington Wizards;2007;W;25;18;43
1285;Washington Wizards;2008;W;13;6;19
1287;Washington Wizards;2009;W;15;11;26
1289;Washington Wizards;2010;W;20;3;23
1291;Washington Wizards;2011;W;11;9;20
1292;Washington Wizards;2013;W;22;22;44
1294;Washington Wizards;2014;W;29;17;46
1296;Washington Wizards;2015;W;22;19;41
1298;Washington Wizards;2016;W;30;19;49
1300;Washington Wizards;2017;W;23;20;43
1302;Washington Wizards;2018;W;22;10;32
1305;Washington Wizards;2019;W;16;9;25
1306;Washington Wizards;2020;W;19;15;34
1308;Washington Wizards;2021;W;21;14;35
1311;Washington Wizards;2022;W;19;16;35
